D,M,Type,Priority,Colour,vesperesI,liturgija,Name
1,1,lielas svinîbas,5,B,TRUE,festum-1-1,"VISSV. JAUNAVA MARIJA, DIEVA MÂTE"
2,1,piemiòas diena,9,B,,,"Sv. Bazilijs Lielais un sv. Gregors no Naziansas, bîskapi un Baznîcas doktori"
3,1,fakult.piemiòas diena,10,B,,,Vissvçtais Jçzus Vârds
7,1,fakult.piemiòas diena,10,B,,,"Sv. Raimonds no Penafortas, priesteris"
13,1,fakult.piemiòas diena,10,B,,,"Sv. Hilârijs, bîskaps un Baznîcas doktors"
17,1,piemiòas diena,9,B,,,"Sv. Antonijs, abats"
20,1,fakult.piemiòas diena,10,S&S,,,"Sv. Fabiâns, pâvests un moceklis<br>Sv. Sebastiâns, moceklis"
21,1,piemiòas diena,9,S,,,"Sv. Agnese, jaunava un mocekle"
22,1,fakult.piemiòas diena,10,S,,,"Sv. Vincents, diakons un moceklis"
24,1,piemiòas diena,9,B,,,"Sv. Francisks no Sales, bîskaps un Baznîcas doktors"
25,1,svçtki,8,B,,,SV. APUSTUÏA PÂVILA KONVERSIJA
26,1,piemiòas diena,9,B,,,"Sv. Timotejs un Tits, bîskapi"
27,1,fakult.piemiòas diena,10,B,,,"Sv. Andþela Merièi, jaunava"
28,1,piemiòas diena,9,B,,,"Sv. Toms no Akvînas, priesteris un Baznîcas doktors"
31,1,piemiòas diena,9,B,,,"Sv. Jânis Bosko, priesteris"
2,2,svçtki,8,B,,,KUNGA PREZENTÂCIJA
3,2,fakult.piemiòas diena,10,S&B,,,"Sv. Blazijs, bîskaps un moceklis<br>Sv. Oskars, bîskaps"
5,2,piemiòas diena,9,S,,,"Sv. Agate, jaunava un mocekle"
6,2,piemiòas diena,9,S,,,"Sv. Pâvils Miki un viòa biedri, mocekïi"
8,2,fakult.piemiòas diena,10,B&B,,,"Sv. Hieronîms Emiliâns<br>Sv. Þozefîne Bakhita, jaunava"
10,2,piemiòas diena,9,B,,,"Sv. Sholastika, jaunava"
11,2,fakult.piemiòas diena,10,B,,,V.J. Marija no Lurdas
14,2,piemiòas diena,9,B,,,"SV. CIRILS, mûks, un SV. METODIJS, bîskaps, Eiropas aizbildòi"
17,2,atceres diena,11,B,,,Septiòi svçtie – Servitu Ordeòa dibinâtâji
21,2,fakult.piemiòas diena,10,B,,,"Sv. Pçteris Damiâns, bîskaps un Baznîcas doktors"
22,2,svçtki,8,B,,,SV. APUSTUÏA PÇTERA KATEDRA
23,2,piemiòas diena,10,S,,,"Sv. Polikarps, bîskaps un moceklis"
4,3,fakult.piemiòas diena,10,B,,,Sv. Kazimirs
7,3,atceres diena,11,S,,,"sv. Perpetuja un sv. Felicita, mocekles"
8,3,atceres diena,11,B,,,"sv. Jânis no Dieva, mûks"
9,3,atceres diena,11,B,,,"sv. Franciska romiete, mûíene"
17,3,atceres diena,11,B,,,"sv. Patriks, bîskaps"
18,3,atceres diena,11,B,,,"sv. Kirils no Jeruzalemes, bîskaps un Baznîcas doktors"
19,3,svinîbas,6,B,,,VISSV. JAUNAVAS MARIJAS LÎGAVAINIS
23,3,atceres diena,11,B,,,"sv. Turîbijs no Mongrovejas, bîskaps"
25,3,svinîbas,6,B,,,KUNGA PASLUDINÂÐANA
2,4,atceres diena,11,B,,,"sv. Francisks no Paolas, vientuïnieks"
4,4,atceres diena,11,B,,,"Sv. Izidors, bîskaps un Baznîcas doktors"
5,4,atceres diena,11,B,,,"Sv. Vincents Ferrers, priesteris"
